customer_id,age,gender,region,annual_income,tenure_months,purchase_frequency_per_month,avg_basket_value,total_spend_12m,recency_days,online_purchase_ratio,returns_rate,loyalty_member,email_open_rate,preferred_category,satisfaction_score
CUST10027,28,Male,North,24841.68,49,8.34,75.43,7425.52,18,0.634,0.172,1,0.312,Beauty,7.86
CUST10028,27,Female,East,35076.52,48,1.0,79.36,984.37,1,0.685,0.182,0,0.595,Sports & Outdoors,7.98
CUST10029,31,Male,North,34352.51,14,2.31,21.32,557.05,44,0.207,0.011,0,0.075,Beauty,7.94
CUST10030,37,Female,Central,68947.48,19,2.03,233.69,6407.76,57,0.116,0.086,0,0.406,Electronics,4.51
CUST10031,31,Male,South,34407.15,25,3.0,10.22,338.89,67,0.305,0.098,0,0.512,Home & Kitchen,6.53
CUST10032,29,Female,Central,34593.16,74,1.36,16.5,242.89,55,0.296,0.0,0,0.284,Beauty,6.73
CUST10033,37,Female,West,80797.09,40,3.46,99.5,3846.18,45,0.417,0.141,1,0.338,Apparel,6.36
CUST10034,49,Female,West,52850.67,60,3.82,73.7,3107.79,8,0.624,0.104,1,0.262,Sports & Outdoors,6.09
CUST10035,38,Non-binary,West,48191.13,58,3.21,81.33,2991.51,14,0.512,0.045,0,0.374,Electronics,5.68
CUST10036,52,Female,South,74206.76,32,8.41,126.13,11425.71,10,0.617,0.183,1,0.442,Apparel,6.96
CUST10037,34,Female,South,36248.53,45,1.65,8.39,166.24,88,0.18,0.062,0,0.296,Sports & Outdoors,7.87
CUST10038,67,Female,North,84253.77,20,3.04,225.62,7056.95,64,0.182,0.109,1,0.462,Home & Kitchen,7.82
CUST10039,23,Female,Central,45359.9,10,8.78,53.37,5399.57,12,0.719,0.045,1,0.524,Sports & Outdoors,8.5
CUST10040,39,Female,Central,29246.26,19,0.84,25.54,257.33,67,0.048,0.03,0,0.09,Home & Kitchen,8.47
CUST10041,22,Female,Central,31639.19,2,6.6,35.58,2924.93,12,0.777,0.106,0,0.377,Groceries,6.93
CUST10042,37,Male,Central,18957.07,19,1.18,17.55,243.08,53,0.335,0.041,0,0.663,Electronics,8.33
CUST10043,37,Female,South,60792.91,29,4.66,52.48,2624.26,39,0.476,0.013,1,0.417,Apparel,10.0
CUST10044,47,Female,Central,98727.69,28,11.86,100.77,14926.81,1,0.469,0.106,0,0.482,Beauty,8.14
CUST10045,55,Female,South,57834.27,5,3.21,218.19,8024.23,64,0.278,0.011,0,0.226,Electronics,8.11
CUST10046,51,Male,West,118600.86,41,5.87,122.41,8699.03,9,0.365,0.121,1,0.628,Groceries,9.8
CUST10047,24,Male,North,29825.28,20,5.52,33.31,2491.65,1,0.947,0.022,0,0.536,Sports & Outdoors,
CUST10048,25,Male,West,23066.8,27,3.52,54.08,2456.15,1,0.873,0.042,0,0.822,Electronics,7.73
CUST10049,29,Male,South,35518.18,34,3.74,18.13,763.8,51,0.605,0.19,0,0.595,Beauty,7.39
CUST10050,49,Female,North,57470.27,36,5.2,76.15,4482.95,14,0.407,0.101,0,0.487,Beauty,8.62
CUST10051,48,Male,Central,68220.32,14,1.25,248.9,3517.33,71,0.313,0.038,0,0.653,Groceries,6.91
CUST10052,34,Male,West,50881.74,20,2.62,40.1,1157.73,25,0.661,0.075,0,0.495,Beauty,6.47
CUST10053,37,Male,East,68124.09,1,5.95,58.31,3723.63,36,0.602,0.1,1,0.354,Apparel,7.54
CUST10054,27,Female,East,45939.94,39,4.24,36.9,2155.12,11,1.0,0.013,0,0.646,Sports & Outdoors,5.81
CUST10055,39,Male,North,37315.61,39,4.92,67.34,3926.16,19,0.261,0.033,1,0.374,Home & Kitchen,10.0
CUST10056,36,Female,Central,25412.83,12,2.9,14.56,467.45,52,0.368,0.015,0,0.284,Groceries,6.35
CUST10057,28,Female,South,29093.83,26,3.55,30.2,1185.94,18,0.186,0.066,0,0.196,Groceries,7.47
CUST10058,21,Male,North,28825.68,38,3.29,10.47,427.54,50,0.147,0.058,0,0.234,Groceries,6.35
CUST10059,55,Female,West,53885.34,25,9.6,190.03,19529.59,1,0.66,0.118,0,0.468,Groceries,6.98
CUST10060,45,Male,East,81895.95,21,8.54,188.12,20770.26,4,0.39,0.012,1,0.466,Groceries,7.66
CUST10061,45,Female,Central,106498.1,6,9.92,195.58,22514.45,3,0.573,0.014,0,0.351,Apparel,4.9
CUST10062,21,Male,East,57006.52,43,4.97,94.63,5701.29,39,0.581,0.05,1,0.622,Apparel,8.64
CUST10063,70,Non-binary,Central,98290.52,48,8.76,128.73,15438.78,11,0.664,0.029,0,0.55,Apparel,6.76
CUST10064,34,Male,East,102709.53,40,8.53,174.5,15612.01,13,1.0,0.076,0,0.651,Groceries,6.92
CUST10065,25,Male,South,44589.27,1,3.78,32.4,1299.36,13,0.861,0.068,1,0.469,Sports & Outdoors,9.77
CUST10066,40,Female,North,39542.36,30,0.98,25.46,266.29,42,0.534,0.067,0,0.639,Electronics,5.95
CUST10067,45,Female,East,51219.14,26,3.73,48.18,2352.89,42,0.423,0.075,1,0.469,Groceries,8.67
CUST10068,32,Male,South,26152.82,20,3.61,17.28,801.69,1,0.477,0.055,0,0.55,Apparel,6.81
CUST10069,45,Female,North,59952.13,69,4.55,72.78,3914.32,49,0.641,0.087,1,0.237,Groceries,8.37
CUST10070,62,Male,North,55040.73,43,2.1,263.95,5722.46,102,0.282,0.028,0,0.275,Groceries,7.46
CUST10071,35,Non-binary,West,42254.97,55,1.38,17.34,299.09,25,0.28,0.046,0,0.33,Groceries,6.76
CUST10072,34,Female,North,35308.91,16,2.54,28.17,852.75,32,0.379,0.0,1,0.349,Sports & Outdoors,7.17
CUST10073,32,Female,North,77782.49,35,2.83,22.63,717.96,36,0.855,0.074,1,0.339,Apparel,7.4
CUST10074,40,Female,West,65085.03,29,1.18,226.12,3395.12,78,0.0,0.114,0,0.24,Apparel,6.38
CUST10075,54,Male,Central,79533.46,44,2.39,140.07,3462.21,106,0.103,0.087,0,0.454,Groceries,5.79
CUST10076,47,Male,North,53192.31,33,1.71,214.61,4634.77,68,0.152,0.082,0,0.331,Beauty,7.28
CUST10077,31,Female,North,30095.93,35,3.83,22.57,1021.83,70,0.368,0.155,1,0.53,Groceries,7.3
CUST10078,53,Male,East,118171.84,13,10.18,169.6,22508.35,17,0.401,0.005,1,0.499,Groceries,8.57
CUST10079,19,Male,West,39027.47,25,4.09,22.68,992.61,25,0.572,0.0,0,0.327,Electronics,6.98
CUST10080,41,Female,Central,68263.42,30,6.09,72.0,4685.96,43,0.805,0.081,1,0.277,Apparel,6.02
CUST10081,56,Male,Central,63567.8,28,2.29,189.97,5036.4,110,0.305,0.082,0,0.213,Home & Kitchen,7.42
CUST10082,42,Female,East,117098.98,31,6.34,109.43,7945.91,1,0.377,0.085,0,0.387,Beauty,5.92
CUST10083,39,Female,Central,37130.65,17,1.45,10.79,207.89,41,0.566,0.083,0,0.719,Apparel,9.13
CUST10084,48,Male,East,124322.17,13,9.4,126.18,15326.11,5,0.543,0.061,1,0.45,Home & Kitchen,5.51
CUST10085,23,Female,North,151479.47,39,11.64,147.81,21102.26,7,0.607,0.092,0,0.453,Groceries,7.04
CUST10086,37,Male,East,56083.61,70,1.03,159.0,2047.3,96,0.121,0.083,0,0.518,Home & Kitchen,6.21
CUST10087,43,Female,West,80849.26,42,2.16,252.94,7081.34,87,0.161,0.119,0,0.233,Home & Kitchen,7.4
CUST10088,31,Female,East,53554.81,30,3.47,64.46,2921.0,2,0.532,0.019,0,0.218,Apparel,6.53
CUST10089,24,Male,South,34923.01,17,6.34,63.04,5115.7,8,0.712,0.089,0,0.709,Home & Kitchen,7.01
CUST10090,40,Female,West,26158.72,37,2.98,21.03,699.7,66,0.764,0.035,0,0.425,Beauty,6.91
CUST10091,39,Male,South,64794.32,33,2.19,173.06,4507.56,95,0.489,0.105,0,0.475,Groceries,5.92
CUST10092,48,Male,West,82174.57,58,1.64,255.36,5338.16,73,0.547,0.0,1,0.543,Beauty,7.02
CUST10093,25,Female,South,30764.21,28,10.48,38.85,4316.04,1,0.847,0.116,0,0.511,Home & Kitchen,7.55
CUST10094,57,Female,North,50917.5,2,2.53,205.45,5551.81,95,0.089,0.101,0,0.196,Beauty,8.55
CUST10095,22,Female,North,43428.69,43,4.91,42.56,2143.22,12,0.75,0.034,0,0.491,Home & Kitchen,6.2
CUST10096,22,Female,Central,41992.53,25,7.23,50.51,4078.62,11,0.801,0.138,0,0.426,Apparel,7.25
CUST10097,27,Female,West,31319.93,42,1.68,48.83,970.27,19,0.715,0.094,0,0.455,Apparel,7.0
CUST10098,28,Male,East,31743.78,45,3.35,28.64,1246.5,87,0.415,0.159,0,0.54,Groceries,8.76
CUST10099,25,Female,North,33479.03,15,3.0,24.84,1005.68,76,0.198,0.0,0,0.507,Beauty,7.41
CUST10100,33,Male,West,36638.08,41,0.81,13.68,143.58,31,0.538,0.069,0,0.436,Home & Kitchen,5.72
CUST10101,53,Male,South,78319.5,29,0.2,245.89,573.63,52,0.296,0.174,0,0.162,Home & Kitchen,7.12
CUST10102,49,Female,South,95344.66,42,7.4,157.08,14638.09,17,0.512,0.0,1,0.676,Home & Kitchen,8.43
CUST10103,21,Male,West,49427.11,19,8.73,48.5,4695.36,12,0.718,0.098,0,1.0,Home & Kitchen,5.45
CUST10104,40,Female,South,56504.05,37,4.63,80.58,4287.66,39,0.411,0.0,0,0.317,Sports & Outdoors,6.78
CUST10105,49,Male,South,106835.44,38,10.1,109.73,13014.21,6,0.258,0.145,1,0.35,Home & Kitchen,7.77
CUST10106,23,Male,Central,46294.85,7,5.74,67.67,4429.19,1,0.849,0.078,0,0.164,Groceries,7.5
CUST10107,60,Male,Central,79168.76,26,2.54,181.18,5601.75,1,0.437,0.093,0,0.334,Apparel,7.38
CUST10108,34,Male,Central,81517.43,10,12.04,168.72,25938.88,6,0.777,0.0,0,0.464,Sports & Outdoors,6.14
CUST10109,24,Male,North,32852.09,43,1.21,7.2,104.02,47,0.088,0.0,0,0.348,Electronics,8.09
CUST10110,64,Male,Central,150978.53,24,10.52,133.59,18988.32,10,0.728,0.15,0,0.618,Apparel,7.56
CUST10111,31,Male,North,29241.62,17,1.56,20.72,393.17,51,0.283,0.154,0,0.579,Apparel,2.97
CUST10112,37,Female,South,59547.95,62,5.51,51.97,3807.89,27,0.698,0.062,1,0.546,Apparel,9.48
CUST10113,43,Female,North,65110.76,26,2.56,88.27,3070.63,25,0.703,0.036,0,0.515,Apparel,7.51
CUST10114,28,Female,South,74129.79,18,1.08,128.84,1452.79,29,0.417,0.137,0,0.345,Beauty,5.04
CUST10115,33,Male,West,42499.32,37,3.77,76.12,3875.58,33,0.599,0.052,1,0.541,Electronics,7.79
CUST10116,51,Male,East,48866.39,15,3.66,100.63,4402.37,11,0.251,0.027,1,0.518,Sports & Outdoors,6.38
CUST10117,29,Male,North,30370.07,44,4.17,26.04,1385.11,19,0.474,0.003,0,0.274,Beauty,6.39
CUST10118,36,Female,North,44930.21,20,2.82,79.13,2775.32,32,0.695,0.053,1,0.519,Sports & Outdoors,8.71
CUST10119,22,Male,South,41784.07,1,4.27,42.89,2154.85,14,0.869,0.038,0,0.563,Beauty,7.28
CUST10120,29,Female,South,61499.62,25,5.88,79.22,5461.43,24,0.464,0.095,1,0.678,Apparel,9.68
CUST10121,42,Male,North,59720.02,45,4.6,83.37,4630.27,30,0.314,0.104,1,0.497,Beauty,7.44
CUST10122,40,Female,Central,119527.11,9,9.83,171.3,21918.08,7,0.804,0.066,1,0.766,Beauty,7.8
CUST10123,30,Female,West,31816.58,30,1.82,12.59,298.43,59,0.326,0.01,0,0.526,Groceries,8.62
CUST10124,34,Male,North,74892.67,48,9.25,81.91,9879.86,1,0.657,0.037,1,0.325,Home & Kitchen,6.25
CUST10125,26,Male,West,35419.51,20,6.62,12.65,978.71,14,0.872,0.0,1,0.506,Apparel,5.8
CUST10126,34,Female,East,52049.1,17,5.77,86.53,5280.8,10,0.508,0.0,1,0.816,Apparel,8.52
CUST10127,48,Male,Central,47100.74,36,4.84,70.69,3993.78,42,0.425,0.1,0,0.335,Home & Kitchen,5.93
CUST10128,25,Female,North,32514.12,12,1.57,19.53,357.09,27,0.289,0.093,0,0.392,Apparel,5.48
CUST10129,25,Female,North,45774.92,36,7.87,41.65,4168.72,17,0.756,0.089,0,0.686,Apparel,7.11
CUST10130,28,Male,West,66097.07,61,5.28,63.23,3421.66,9,0.849,0.006,0,0.354,Groceries,7.38
CUST10131,38,Male,East,98803.11,18,12.0,122.78,17004.98,1,0.674,0.001,1,0.411,Groceries,5.35
CUST10132,32,Male,East,35906.97,31,2.82,19.83,655.3,73,0.142,0.031,0,0.018,Beauty,7.77
CUST10133,55,Male,South,122471.35,36,7.2,158.51,14754.85,8,0.526,0.071,0,0.576,Home & Kitchen,7.66
CUST10134,31,Female,East,37997.9,48,3.45,97.1,4468.83,9,0.553,0.074,0,0.523,Beauty,9.21
CUST10135,50,Male,South,113550.45,33,7.36,169.91,14207.42,2,0.728,0.088,1,0.608,Apparel,6.6
CUST10136,28,Female,South,42834.61,21,7.43,56.39,4662.38,4,0.993,0.057,1,0.548,Home & Kitchen,8.42
CUST10137,45,Female,East,89307.82,17,1.85,124.13,2956.78,61,0.495,0.074,0,0.816,Apparel,5.87
CUST10138,44,Male,Central,92579.06,41,9.83,190.1,24199.94,13,0.288,0.126,1,0.444,Home & Kitchen,8.93
CUST10139,23,Male,Central,40249.63,34,4.75,59.15,3443.12,35,0.675,0.006,0,0.28,Beauty,5.8
CUST10140,48,Male,North,60493.16,51,5.4,98.75,6154.86,24,0.402,0.119,0,0.421,Beauty,5.61
CUST10141,45,Female,West,81526.17,31,10.88,160.97,20711.6,1,0.472,0.033,0,0.467,Electronics,6.92
CUST10142,31,Female,North,33831.49,18,6.49,55.77,4653.92,21,0.88,0.071,1,0.808,Electronics,8.69
CUST10143,54,Male,West,99702.8,27,9.83,167.97,21224.88,10,0.482,0.071,1,0.488,Home & Kitchen,7.88
CUST10144,36,Female,Central,60156.22,55,13.09,104.8,16050.22,6,0.681,0.073,1,0.403,Sports & Outdoors,7.74
CUST10145,36,Non-binary,South,32123.27,5,3.04,10.69,446.17,36,0.514,0.01,1,0.484,Electronics,8.31
CUST10146,56,Female,South,80744.53,10,1.05,231.86,2489.62,120,0.233,0.004,1,0.346,Sports & Outdoors,9.23
CUST10147,20,Female,Central,25548.92,10,4.92,28.62,1459.08,13,0.852,0.089,1,0.783,Sports & Outdoors,8.16
CUST10148,47,Male,Central,31551.53,25,0.2,9.19,20.91,36,0.505,0.113,0,0.378,Electronics,7.58
CUST10149,62,Male,South,96337.03,31,11.74,141.34,18600.8,9,0.534,0.069,1,0.428,Groceries,8.07
CUST10150,39,Male,Central,63287.09,24,6.53,106.63,8929.72,39,0.416,0.097,0,0.797,Beauty,9.93
CUST10151,47,Female,North,101753.91,17,12.39,164.11,24288.81,7,0.313,0.047,0,0.296,Sports & Outdoors,6.48
CUST10152,39,Male,East,37992.9,26,3.87,21.64,1068.46,82,0.368,0.09,0,0.58,Electronics,8.13
CUST10153,27,Female,West,39938.57,24,7.02,103.89,7501.06,1,1.0,0.074,0,0.515,Beauty,
CUST10154,48,Male,North,50128.42,43,6.36,58.93,4584.81,28,0.433,0.004,0,0.334,Electronics,7.29
CUST10155,38,Male,West,65457.44,10,6.51,96.87,7101.86,14,0.891,0.087,0,0.591,Apparel,10.0
CUST10156,61,Female,North,83575.66,15,1.04,133.24,1826.5,71,0.13,0.0,0,0.269,Sports & Outdoors,6.11
CUST10157,59,Female,South,53196.12,6,1.18,134.38,1724.16,100,0.234,0.103,0,0.341,Groceries,8.97
CUST10158,41,Female,West,112172.25,60,6.99,175.42,16648.37,4,0.486,0.038,0,0.48,Electronics,7.69
CUST10159,49,Male,East,40240.53,32,2.35,112.51,3550.19,38,0.214,0.01,0,0.492,Sports & Outdoors,8.97
CUST10160,58,Female,South,58115.77,4,11.04,114.96,17030.31,4,0.5,0.082,0,0.583,Groceries,9.07
CUST10161,58,Male,North,79857.52,19,0.7,232.7,1736.42,116,0.197,0.039,1,0.133,Sports & Outdoors,8.03
CUST10162,27,Male,Central,83429.82,50,2.1,236.0,5642.59,10,0.201,0.034,0,0.35,Home & Kitchen,6.38
CUST10163,29,Female,North,41927.02,63,4.57,58.45,3626.79,7,0.873,0.0,0,0.676,Beauty,6.01
CUST10164,31,Male,North,33022.78,19,1.54,16.76,295.7,57,0.374,0.071,0,0.586,Groceries,6.88
CUST10165,52,Male,East,51432.61,38,7.53,105.19,8166.23,14,0.394,0.0,0,0.352,Home & Kitchen,6.85
CUST10166,45,Female,Central,66625.67,56,9.88,131.04,15688.39,14,0.836,0.032,0,0.795,Groceries,6.8
CUST10167,30,Male,West,30405.35,1,2.5,27.47,924.51,13,0.288,0.078,0,0.409,Groceries,8.45
CUST10168,25,Female,North,27565.9,24,2.95,15.81,579.91,40,0.543,0.012,0,0.436,Home & Kitchen,5.83
CUST10169,25,Male,West,27633.18,24,4.57,29.57,1581.85,1,0.976,0.043,0,0.467,Electronics,7.1
CUST10170,43,Male,North,64625.4,13,2.25,179.36,4510.44,71,0.291,0.012,1,0.364,Groceries,7.93
CUST10171,28,Female,West,38027.56,1,2.6,14.98,496.03,51,0.339,0.077,0,0.365,Home & Kitchen,8.2
CUST10172,19,Male,Central,35219.83,32,4.6,28.99,1498.07,9,0.828,0.035,0,0.73,Groceries,5.89
CUST10173,34,Female,West,65637.04,19,5.91,143.83,9121.53,14,0.613,0.083,1,0.311,Beauty,5.65
CUST10174,28,Male,East,81911.11,45,1.36,254.69,4530.76,37,0.086,0.077,1,0.183,Electronics,7.9
CUST10175,45,Female,North,25149.97,48,2.12,16.76,400.11,57,0.517,0.071,0,0.258,Home & Kitchen,9.41
CUST10176,75,Male,Central,68163.87,33,1.76,187.04,3979.16,55,0.191,0.018,0,0.227,Electronics,3.56
CUST10177,37,Female,West,109943.45,60,11.25,155.79,22185.71,13,0.314,0.136,0,0.146,Groceries,6.46
CUST10178,36,Female,South,59050.41,23,6.11,93.6,7277.79,34,0.311,0.046,1,0.154,Electronics,9.89
CUST10179,32,Female,Central,30069.76,20,2.58,16.36,530.67,73,0.019,0.016,0,0.549,Home & Kitchen,9.79
CUST10180,28,Male,East,114057.11,34,8.57,167.02,18191.19,10,0.403,0.0,0,0.517,Beauty,8.77
CUST10181,40,Female,West,27144.27,41,1.7,15.75,353.3,33,0.339,0.074,1,0.432,Sports & Outdoors,7.49
CUST10182,31,Male,South,57871.33,6,6.5,58.17,3871.98,20,0.542,0.022,1,0.554,Electronics,10.0
CUST10183,23,Female,North,70034.2,55,4.07,66.19,3595.81,17,0.457,0.0,0,0.629,Apparel,7.91
CUST10184,56,Female,East,94370.36,15,13.15,167.52,27001.58,14,0.397,0.077,1,0.371,Sports & Outdoors,9.36
CUST10185,44,Male,East,41928.33,75,2.53,230.99,7104.49,66,0.214,0.028,1,0.541,Apparel,10.0
CUST10186,38,Male,Central,62564.99,10,3.62,42.55,2068.63,45,0.663,0.067,1,0.651,Apparel,8.7
CUST10187,19,Female,East,49070.01,42,4.07,69.43,3137.85,9,1.0,0.053,1,0.664,Apparel,7.93
CUST10188,23,Female,Central,31501.39,12,6.62,44.54,3446.32,5,1.0,0.0,0,0.555,Electronics,7.07
CUST10189,36,Male,North,85935.98,16,8.49,142.69,12871.01,15,0.732,0.047,1,0.56,Beauty,5.63
CUST10190,21,Male,Central,27183.05,39,2.43,17.55,561.14,84,0.142,0.134,1,0.683,Groceries,7.11
CUST10191,43,Male,West,44825.95,1,3.22,40.86,1814.75,40,0.565,0.011,1,0.549,Apparel,9.51
CUST10192,32,Male,West,63442.83,32,4.27,50.74,2915.65,9,0.729,0.031,1,0.475,Electronics,6.17
CUST10193,42,Male,Central,55740.57,28,1.26,210.38,3110.6,1,0.023,0.066,1,0.246,Groceries,7.78
CUST10194,46,Female,South,123595.28,23,10.74,100.06,11742.91,7,0.389,0.039,1,0.398,Home & Kitchen,7.21
CUST10195,45,Female,South,73910.22,33,13.24,206.41,34224.0,8,0.755,0.0,1,0.458,Electronics,7.74
CUST10196,59,Male,West,84744.13,12,2.57,265.3,7101.53,67,0.175,0.085,0,0.282,Beauty,
CUST10197,38,Non-binary,Central,60074.21,41,3.31,90.42,3641.16,8,0.415,0.112,1,0.29,Groceries,6.09
CUST10198,39,Male,West,55455.9,26,4.4,101.65,4875.11,41,0.612,0.062,0,0.624,Apparel,6.21
CUST10199,40,Female,Central,74365.91,12,2.7,76.99,2216.3,90,0.0,0.141,1,0.213,Beauty,6.17
CUST10200,67,Male,Central,95865.54,42,1.73,135.66,2411.74,137,0.489,0.019,0,0.496,Apparel,9.18
CUST10201,23,Female,South,29755.64,13,1.4,18.23,290.11,7,0.259,0.088,0,0.347,Electronics,7.62
CUST10202,26,Male,East,31628.96,29,3.35,30.72,1059.0,56,0.0,0.062,0,0.44,Beauty,7.53
CUST10203,24,Female,South,63387.62,20,3.42,48.92,1971.79,20,0.439,0.124,0,0.329,Groceries,7.3
CUST10204,58,Male,Central,82230.6,47,1.62,212.48,3898.59,111,0.004,0.045,0,0.171,Home & Kitchen,5.91
CUST10205,49,Female,North,36524.46,25,2.98,19.19,628.78,57,0.295,0.083,1,0.389,Beauty,9.13
CUST10206,27,Male,West,38491.91,26,1.15,15.51,232.2,45,0.367,0.08,0,0.262,Beauty,6.92
CUST10207,50,Male,East,46086.13,20,1.32,103.23,1520.77,113,0.365,0.0,1,0.426,Apparel,8.09
CUST10208,31,Male,East,34220.37,12,2.38,20.75,546.97,35,0.323,0.058,0,0.436,Apparel,7.58
CUST10209,28,Female,East,37295.89,16,2.07,23.3,545.2,48,0.29,0.021,1,0.262,Beauty,7.81
CUST10210,27,Female,North,34163.58,39,6.8,34.17,2512.74,18,0.965,0.042,1,0.559,Groceries,10.0
CUST10211,56,Male,Central,82675.55,56,0.94,311.67,4039.31,22,0.356,0.054,0,0.384,Home & Kitchen,8.14
CUST10212,60,Female,West,63273.7,49,1.4,229.96,3596.78,102,0.217,0.133,0,0.344,Groceries,7.47
CUST10213,49,Male,Central,95710.05,48,5.41,93.95,6109.36,9,0.123,0.052,1,0.31,Beauty,7.72
CUST10214,20,Male,South,54944.13,51,2.1,262.69,6251.62,62,0.148,0.1,0,0.511,Home & Kitchen,4.87
CUST10215,49,Female,South,107232.36,30,9.37,129.91,13949.52,7,0.698,0.008,1,0.728,Electronics,8.95
CUST10216,43,Female,South,86831.74,50,7.57,178.26,17960.2,17,0.429,0.061,1,0.397,Sports & Outdoors,9.62
CUST10217,29,Female,West,75215.8,34,2.04,224.76,6081.22,105,0.207,0.0,0,0.161,Home & Kitchen,
CUST10218,28,Female,East,49573.34,11,0.35,204.84,767.23,70,0.201,0.001,0,0.408,Electronics,6.43
CUST10219,37,Male,Central,42092.11,24,3.67,77.55,3762.32,15,0.084,0.048,1,0.333,Home & Kitchen,8.15
CUST10220,61,Female,Central,34500.82,56,2.14,157.92,4350.02,59,0.115,0.061,0,0.359,Electronics,5.88
CUST10221,21,Male,Central,30581.56,53,7.59,51.76,4728.4,14,0.785,0.061,0,0.185,Groceries,4.46
CUST10222,43,Female,South,34885.45,12,2.3,14.83,420.7,65,0.137,0.04,0,0.196,Electronics,7.01
CUST10223,52,Female,South,96931.69,27,10.89,227.66,29499.54,12,0.745,0.0,1,0.137,Electronics,8.62
CUST10224,41,Female,North,92276.61,21,5.51,160.7,9318.51,4,0.511,0.021,0,0.452,Electronics,7.18
CUST10225,46,Male,Central,77787.01,22,13.12,161.93,28379.97,6,0.239,0.049,0,0.493,Apparel,5.42
CUST10226,41,Female,South,53640.73,43,5.3,97.17,6961.89,22,0.25,0.018,1,0.419,Home & Kitchen,7.82
CUST10227,46,Female,North,109844.01,39,7.49,78.75,8113.17,13,0.363,0.083,0,0.159,Home & Kitchen,8.51
CUST10228,36,Female,East,49309.73,9,3.78,104.92,5114.33,16,0.694,0.084,1,0.41,Groceries,6.63
CUST10229,48,Female,East,76224.79,23,2.46,206.44,5415.92,130,0.284,0.0,0,0.529,Home & Kitchen,8.05
CUST10230,49,Male,East,78840.25,30,2.35,236.56,6661.0,23,0.139,0.097,1,0.107,Electronics,8.94
CUST10231,27,Female,Central,34675.52,8,6.19,42.84,3381.2,9,0.886,0.047,0,0.391,Apparel,7.98
CUST10232,26,Female,South,45521.79,12,6.27,48.61,3209.52,3,0.76,0.09,0,0.615,Home & Kitchen,7.88
